291,30	10548
187,200	10415
30,202	9979
11,140	9907
214,191	10159
241,180	10552
104,296	9424
395,238	9687
70,185	9601
51,88	10074
131,281	9485
83,47	10460
125,32	9901
291,70	9960
4,293	9672
10,222	10089
58,284	9948
316,118	10493
16,12	10474
266,275	9801
317,203	10289
211,174	10441
244,150	9068
194,248	9525
169,58	9669
128,184	10092
266,4	9743
27,178	9483
131,20	9497
324,199	10429
281,153	9910
3,252	9959
9,35	10288
318,92	11061
198,169	10039
111,229	10241
308,243	10125
20,175	10818
305,18	10606
40,160	9820
287,267	10660
116,167	10105
37,62	10389
162,267	10353
157,28	10542
160,88	10220
133,31	9786
111,247	9414
242,282	9652
168,53	9823
209,13	10408
177,53	10368
97,5	10550
262,98	10454
196,268	9605
263,258	10416
49,215	9696
236,278	9898
315,102	10073
347,202	9346
319,128	9711
352,36	10184
266,266	10269
354,109	9139
44,209	10040
217,10	10186
301,293	10390
180,95	10209
138,286	10022
341,21	9830
381,54	10064
321,174	10097
211,105	10580
295,211	9834
187,198	9752
59,153	10256
290,278	10490
1,131	9627
285,75	10392
327,266	9460
115,26	9214
185,211	9802
250,209	10178
313,272	10481
199,3	10170
132,143	9666
235,244	9662
343,246	10002
277,30	10728
283,292	10190
17,159	10257
245,179	10170
359,64	10565
387,12	9614
117,68	9418
9,179	10391
94,154	9935
217,125	10272
46,243	9517
187,222	9845
26,42	9580
242,167	9363
61,190	9970
114,183	10516
328,91	9815
394,112	9992
301,136	11210
84,164	9753
100,159	9867
6,206	9904
327,213	9470
138,70	10286
181,27	9488
372,259	10143
12,85	10000
374,29	9094
279,240	10097
379,62	10158
178,74	11126
103,114	9584
376,123	10629
77,3	10300
262,50	9821
14,32	10283
329,67	9907
242,185	9361
216,75	10226
80,33	10659
212,243	9813
146,100	10066
90,14	10198
351,1	10490
145,56	9951
50,61	9461
144,37	9886
49,237	10374
275,132	9568
93,128	9591
72,240	9919
105,109	9267
148,82	10134
101,181	9899
328,20	9852
95,100	10726
30,23	10633
102,108	10395
180,289	9997
291,12	9404
322,97	10220
156,16	10798
212,290	9771
197,73	9977
285,57	9748
111,272	10050
294,142	9985
353,225	10105
9,88	9877
174,273	10154
336,228	10420
247,95	10262
328,289	10090
112,259	10246
30,185	9844
6,30	10385
181,12	9358
12,277	10391
32,14	10093
204,172	10167
229,186	11192
124,276	10178
10,279	10153
146,113	10654
29,198	10275
75,256	9156
319,234	9250
343,286	9335
241,31	10528
336,185	10061
254,186	10573
303,152	10477
154,4	9838
336,291	10600
44,24	10182
230,210	10082
346,146	10022
366,17	9324
282,45	9891
290,55	10693
94,275	9831
359,106	10776
371,71	9526
372,152	10399
293,98	10662
357,57	9663
378,231	10339
246,268	10187
161,200	10570
113,223	10465
99,80	9944
384,13	10338
321,251	10415
179,142	9842
394,189	9513
360,227	9531
125,83	9730
237,268	10685
281,250	10090
198,61	10035
147,204	10115
289,93	10804
199,108	10413
311,292	10983
259,145	10380
304,39	9662
363,161	10183
302,106	10461
250,223	10022
393,80	9719
7,256	9607
120,122	9636
180,238	9870
392,208	10441
262,21	9489
90,244	10031
23,130	10121
55,298	9948
18,54	9931
84,128	10075
393,294	10277
234,48	9966
126,230	9983
121,253	10015
314,237	10215
357,197	9584
21,190	9971
323,271	10658
169,69	9830
332,277	10782
368,51	10219
313,236	9737
22,5	10327
382,292	10393
74,67	10176
236,199	9935
260,134	10559
296,171	10373
310,163	9843
10,132	10229
154,257	11174
11,221	10108
216,153	9550
271,235	9997
212,197	9681
231,158	10438
43,161	9919
191,265	10678
11,179	10232
253,98	10852
89,34	10166
276,115	10291
55,188	9577
130,41	9599
205,117	10496
111,88	10167
124,40	9962
91,232	10153
78,130	10244
368,115	10193
375,298	10163
213,69	9822
96,134	10300
398,291	10165
350,237	9634
120,3	9526
303,242	10884
246,163	9830
5,135	10287
343,38	10462
19,48	9624
167,134	10048
250,5	10012
54,239	9973
357,26	9972
22,64	10679
269,199	10500
177,179	11183
66,201	9975
116,130	10416
229,20	10558
261,296	8880
178,228	10967
267,44	9762
32,239	10109
382,159	9930
120,108	9689
176,257	10996
189,101	10489
305,235	10330
226,198	10943
144,111	11069
182,117	10358
171,201	9817
217,165	10244
127,242	10046
381,169	10357
288,165	9518
79,186	10654
41,260	10805
207,99	10460
382,86	9763
4,83	9917
29,43	9690
253,213	10470
306,82	9900
130,38	10246
128,71	10384
179,19	10492
13,86	10395
257,288	9903
290,111	11422
70,67	9666
332,49	10383
166,1	9615
49,299	9824
245,210	10495
99,44	10362
318,242	11414
152,67	10313
222,266	9810
368,256	9399
33,153	9807
364,128	9897
91,131	9257
217,58	9683
204,235	10049
114,8	9242
9,243	10031
1,225	9258
67,2	10392
396,136	10664
365,6	9970
380,254	10299
181,174	9948
219,259	10627
15,97	9472
126,177	10015
12,149	10425
399,159	10000
312,284	9540
163,6	10233
373,11	10582
393,258	10363
200,65	10352
194,176	9439
370,161	9958
102,175	10738
229,1	9818
156,255	10563
354,6	9832
106,236	9954
344,272	10041
230,97	9989
123,156	9345
153,216	9967
263,53	10131
318,224	10426
28,232	10278
118,121	10861
216,276	10535
325,67	9745
276,77	10824
361,251	10312
162,60	10807
386,216	9733
116,78	10905
297,29	9741
91,17	9568
58,190	9827
134,70	9580
112,219	10141
329,96	10162
138,202	9750
116,260	10588
84,37	9705
285,7	10280
149,63	9209
173,84	10373
189,178	9539
252,261	9627
18,4	9817
183,217	9742
338,226	10126
361,89	9733
75,137	9973
56,101	10311
354,220	9920
343,259	9716
10,50	10422
100,106	10425
205,265	10230
278,126	10245
220,215	10104
267,179	10600
113,274	10299
297,176	9595
161,14	10461
288,187	9750
337,24	10309
316,257	10416
1,287	9848
